latitude,longitude,date,temperature,precipitation,wind_speed_max,soil_moisture,shortwave_radiation,humidity_max
-35.4589,145.9996,2011-05-28,10.0,0.2,7.6,0.288,8.19,81
-28.9557,150.0128,2011-05-29,12.4,5.1,10.7,0.14,9.44,76
-34.9874,147.3593,2011-05-30,9.6,0.1,12.8,0.277,9.93,80
-32.1552,142.1496,2011-05-31,10.0,0.0,15.1,0.125,12.7,75
-28.5963,148.5075,2011-06-01,13.8,0.0,29.1,0.131,12.51,72
-29.6542,149.2016,2011-06-02,15.6,0.0,15.5,0.329,13.52,70
-29.1166,148.0751,2011-06-03,14.5,0.0,9.9,0.202,13.89,69
-31.6492,149.4478,2011-06-04,12.0,0.0,16.6,0.268,11.4,74
-29.3842,148.4065,2011-06-05,16.2,0.0,13.4,0.175,12.88,63
-34.4661,150.8879,2011-06-06,12.2,0.0,22.0,0.358,9.53,63
-33.648,141.6088,2011-06-07,11.7,0.0,27.6,0.208,9.12,64
-31.9252,141.7486,2011-06-08,8.3,0.0,26.7,0.043,11.35,67
-30.5315,152.1292,2011-06-09,2.7,0.0,16.6,0.35,11.55,67
-28.2213,148.6231,2011-06-10,8.1,0.0,12.0,0.076,14.16,63
-36.7966,144.4942,2011-06-11,9.2,0.0,16.9,0.262,10.09,78
-32.0276,141.9193,2011-06-12,8.5,0.0,20.4,0.049,12.03,77
-35.5356,145.916,2011-06-13,8.2,0.0,11.4,0.271,10.38,79
-36.3494,145.4221,2011-06-14,9.1,0.0,12.8,0.29,9.71,82
-34.5338,146.3667,2011-06-15,9.9,0.0,17.1,0.22,10.35,72
-28.9242,145.0305,2011-06-16,13.4,0.0,11.3,0.194,12.6,69
-31.7448,148.087,2011-06-17,11.0,0.0,25.5,0.367,11.42,67
-34.4596,150.8802,2011-06-18,12.3,0.0,31.8,0.373,11.19,64
-31.9449,141.7431,2011-06-19,12.7,0.0,23.5,0.032,11.16,61
-35.7727,145.5701,2011-06-20,12.9,0.0,26.8,0.257,9.4,63
-31.1215,148.7709,2011-06-21,9.7,2.1,31.2,0.281,10.85,77
-36.2449,150.0463,2011-06-22,10.8,0.0,16.5,0.232,10.1,51
-28.3409,150.0783,2011-06-23,9.5,0.0,17.5,0.276,13.78,71
-29.3242,145.1285,2011-06-24,10.7,0.0,13.9,0.148,12.42,69
-28.2015,148.8041,2011-06-25,12.3,0.0,11.2,0.088,13.6,69
-28.5797,150.3034,2011-06-26,13.5,0.0,12.6,0.265,13.42,72
-34.9012,147.0147,2011-06-27,7.3,0.0,9.8,0.258,10.38,80
-28.6418,150.3065,2011-06-28,14.6,0.0,17.0,0.253,12.38,63
-35.613,150.1869,2011-06-29,11.5,0.4,13.6,0.251,7.41,85
-30.0458,149.3887,2011-06-30,12.9,0.0,15.7,0.276,12.99,65
-36.9873,149.3754,2011-07-01,3.8,0.0,6.7,0.322,10.57,82
-28.5975,150.2837,2011-07-02,13.1,0.0,10.1,0.232,13.5,68
-34.371,147.3741,2011-07-03,11.6,4.9,22.7,0.235,10.34,72
-32.3819,151.34,2011-07-04,13.2,0.0,23.7,0.345,10.41,64
-32.446,148.2904,2011-07-05,9.6,0.0,27.9,0.232,8.63,57
-31.8113,149.8472,2011-07-06,6.3,0.0,25.0,0.361,8.92,60
-29.4665,148.7575,2011-07-07,11.9,0.0,25.3,0.242,12.04,56
-34.4677,150.8887,2011-07-08,10.2,0.0,30.4,0.293,11.76,58
-28.2207,148.8018,2011-07-09,7.6,0.0,18.6,0.066,14.32,59
-34.4595,150.8818,2011-07-10,10.2,0.0,38.3,0.284,11.67,59
-28.1967,149.9989,2011-07-11,9.7,0.0,19.0,0.131,14.0,59
-28.6791,148.1955,2011-07-12,8.1,0.0,10.1,0.143,14.33,64
-36.1604,149.9311,2011-07-13,9.7,0.0,11.7,0.223,7.51,67
-35.4962,150.2963,2011-07-14,9.3,0.0,17.9,0.222,9.54,69
-34.8841,146.0064,2011-07-15,6.3,0.0,13.8,0.209,11.74,69
-37.111,143.9946,2011-07-16,6.6,0.3,16.4,0.304,7.96,80
-34.4612,150.8801,2011-07-18,12.4,0.5,22.0,0.315,10.5,75
-28.5792,147.343,2011-07-19,9.5,0.0,20.9,0.237,11.94,68
-31.1622,149.4646,2011-07-20,10.1,0.0,21.3,0.378,9.59,73
-31.4786,149.2475,2011-07-21,9.3,0.0,16.5,0.27,11.93,72
-35.4354,145.5409,2011-07-22,9.4,0.8,9.7,0.266,11.13,79
