latitude,longitude,date,Mean_estimated_fire_brightness,Mean_confidence,Temperature,Precipitation,WindSpeed,SoilWaterContent,SolarRadiation,RelativeHumidity
-35.5034,141.092,2012-10-19,320.5,61,20.1,0.0,25.2,0.059,27.12,42
-35.492,141.0903,2012-10-19,379.7,100,20.1,0.0,25.2,0.059,27.12,42
-35.484,141.0524,2012-10-19,341.5,70,20.0,0.0,25.2,0.059,27.12,42
-34.8495,145.787,2012-10-19,338.7,86,23.1,0.0,20.1,0.14,26.02,41
-34.851,145.7759,2012-10-19,330.3,75,22.9,0.0,20.1,0.14,26.02,42
-35.575,141.0544,2012-10-19,326.3,68,19.9,0.0,25.2,0.042,27.12,42
-35.566,141.0456,2012-10-19,323.5,39,19.7,0.0,25.2,0.044,27.12,43
-35.5298,141.059,2012-10-19,336.8,68,20.0,0.0,25.2,0.059,27.12,42
-31.549,152.0853,2012-10-19,326.0,78,20.1,0.0,11.6,0.242,22.83,57
-33.671,151.1098,2012-10-19,318.9,73,19.5,0.0,11.7,0.217,25.1,65
-33.6738,151.0947,2012-10-19,324.3,79,19.7,0.0,11.7,0.217,25.1,65
-32.7247,150.7586,2012-10-19,321.4,62,20.8,0.0,15.2,0.218,20.64,54
-31.7402,151.9937,2012-10-19,322.8,63,19.9,0.0,11.6,0.221,22.83,54
-31.7438,151.9753,2012-10-19,323.7,65,19.6,0.0,15.4,0.228,23.61,56
-32.6509,146.3227,2012-10-19,331.0,73,25.7,0.2,29.8,0.128,25.37,24
-32.6524,146.312,2012-10-19,340.1,85,25.7,0.2,29.8,0.128,25.37,24
-31.5455,152.1033,2012-10-19,347.0,93,20.3,0.0,11.6,0.242,22.83,57
-29.0044,152.2862,2012-10-19,321.5,66,19.1,2.0,13.9,0.287,26.22,62
-29.5245,152.6062,2012-10-19,317.5,48,21.7,0.5,11.5,0.293,25.3,69
-29.0152,152.2941,2012-10-19,321.1,58,18.9,2.0,13.9,0.287,26.22,62
-29.7496,151.9461,2012-10-19,328.4,81,17.8,1.2,14.7,0.282,25.65,67
-29.7375,151.9431,2012-10-19,327.2,80,17.5,2.2,14.7,0.282,26.2,67
-29.7422,151.9586,2012-10-19,327.9,65,17.3,2.2,14.7,0.364,26.2,66
-29.7462,151.938,2012-10-19,325.6,73,17.5,2.2,14.7,0.282,26.2,67
-29.539,152.5922,2012-10-19,327.1,65,21.8,0.5,11.5,0.293,25.3,69
-30.8767,152.2868,2012-10-19,364.9,100,17.5,0.0,17.9,0.244,22.74,58
-30.8791,152.2497,2012-10-19,354.5,100,17.4,0.0,17.9,0.244,22.74,58
-30.8816,152.2107,2012-10-19,325.9,100,17.6,0.0,17.9,0.244,22.74,58
-30.8739,152.2035,2012-10-19,312.1,60,17.6,0.0,17.9,0.244,23.99,58
-30.8607,152.285,2012-10-19,331.5,100,17.5,0.0,17.9,0.244,23.99,58
-30.8631,152.2479,2012-10-19,306.3,39,17.5,0.0,17.9,0.244,23.99,58
-30.8685,152.2792,2012-10-19,345.9,100,17.4,0.0,17.9,0.244,23.99,58
-30.8712,152.2417,2012-10-19,323.5,100,17.7,0.2,16.6,0.244,23.95,58
-30.8526,152.2773,2012-10-19,316.7,94,17.6,0.2,16.6,0.244,23.95,58
-31.3795,146.7254,2012-10-19,305.2,63,24.9,0.0,20.4,0.12,23.32,26
-31.3899,146.7069,2012-10-19,302.7,51,24.9,0.0,20.4,0.12,23.32,26
-28.5218,143.7119,2012-10-19,329.1,100,31.3,0.0,26.8,0.024,23.86,16
-29.2309,145.8156,2012-10-19,309.7,78,29.0,0.8,22.3,0.039,22.12,21
-29.2174,145.8118,2012-10-19,306.7,19,29.0,0.8,22.3,0.039,22.12,21
-29.2009,145.7537,2012-10-19,347.4,100,29.0,0.8,22.3,0.039,22.12,21
-29.2062,145.7286,2012-10-19,332.9,100,29.0,0.8,22.3,0.07,22.12,21
-29.1875,145.75,2012-10-19,314.7,15,29.0,0.8,22.3,0.039,22.12,21
-29.1443,145.7846,2012-10-19,305.1,60,29.2,0.8,22.3,0.059,22.12,21
-29.1114,145.669,2012-10-19,300.1,13,29.2,0.0,21.8,0.062,22.78,21
-28.5419,143.7628,2012-10-19,321.2,100,31.5,0.0,26.8,0.024,23.86,16
-28.5457,143.7437,2012-10-19,324.9,94,31.4,0.0,26.8,0.024,23.86,16
-28.5494,143.7247,2012-10-19,322.4,100,31.4,0.0,26.8,0.024,23.86,16
-28.5531,143.7057,2012-10-19,306.4,60,31.4,0.0,26.8,0.025,23.86,16
-28.53,143.7597,2012-10-19,310.4,27,31.5,0.0,26.8,0.024,23.86,16
-28.5375,143.7216,2012-10-19,314.6,53,31.4,0.0,26.8,0.024,23.86,16
-28.5412,143.7026,2012-10-19,310.1,39,31.3,0.0,26.8,0.024,23.86,16
-28.5348,143.7755,2012-10-19,310.2,74,31.6,0.0,26.8,0.024,23.86,16
-28.5384,143.7563,2012-10-19,325.1,100,31.5,0.0,26.8,0.024,23.86,16
-28.542,143.7372,2012-10-19,325.3,100,31.4,0.0,26.8,0.024,23.86,16
-28.5456,143.7182,2012-10-19,323.2,100,31.4,0.0,26.8,0.024,23.86,16
-28.5492,143.6992,2012-10-19,301.6,41,31.3,0.0,26.8,0.024,23.86,16
-28.5265,143.7532,2012-10-19,311.7,83,31.4,0.0,26.8,0.024,23.86,16
-28.5301,143.7341,2012-10-19,311.9,17,31.4,0.0,26.8,0.024,23.86,16
-28.5337,143.715,2012-10-19,323.9,100,31.3,0.0,26.8,0.024,23.86,16
-28.5182,143.731,2012-10-19,334.1,100,31.3,0.0,26.8,0.024,23.86,16
-29.2256,145.8411,2012-10-19,303.0,13,29.0,0.8,22.3,0.039,22.12,21
-28.5026,143.747,2012-10-19,336.7,100,31.3,0.0,26.8,0.024,23.86,16
-28.5063,143.7278,2012-10-19,356.2,100,31.2,0.0,26.8,0.024,23.86,16
-28.5099,143.7088,2012-10-19,313.0,86,31.2,0.0,26.8,0.024,23.86,16
-28.4869,143.763,2012-10-19,308.0,34,31.4,0.0,26.8,0.024,23.86,16
-29.223,145.8188,2012-10-19,309.4,52,29.0,0.8,22.3,0.039,22.12,21
-28.4906,143.7438,2012-10-19,376.7,100,31.2,0.0,26.8,0.024,23.86,16
-28.4943,143.7247,2012-10-19,352.6,100,31.1,0.0,26.8,0.024,23.86,16
-28.4787,143.7406,2012-10-19,369.7,100,31.1,0.0,26.8,0.024,23.86,16
-28.4824,143.7217,2012-10-19,320.7,100,31.2,0.0,26.8,0.024,23.86,16
-28.6062,145.3968,2012-10-19,342.0,100,30.3,0.0,25.2,0.109,24.85,19
-28.6098,145.415,2012-10-19,328.8,100,30.2,0.0,25.2,0.109,24.85,19
-28.6132,145.4329,2012-10-19,313.5,35,30.2,0.0,25.2,0.109,24.85,19
-28.6167,145.4508,2012-10-19,318.4,97,30.5,0.0,25.2,0.105,24.85,19
-28.6201,145.4686,2012-10-19,312.5,65,30.5,0.0,25.2,0.105,24.85,19
-28.6179,145.3939,2012-10-19,304.9,41,30.3,0.0,25.2,0.109,24.85,19
-28.6214,145.412,2012-10-19,312.2,43,30.2,0.0,25.2,0.109,24.85,19
-28.6482,145.4243,2012-10-19,309.7,21,30.1,0.0,23.9,0.109,23.53,19
-28.6516,145.4423,2012-10-19,312.3,50,30.1,0.0,23.9,0.098,23.53,19
-28.6585,145.478,2012-10-19,315.1,66,30.2,0.0,23.9,0.046,23.53,19
-28.6618,145.4958,2012-10-19,309.8,10,30.2,0.0,23.9,0.046,23.53,19
-28.6633,145.4395,2012-10-19,312.0,31,30.0,0.0,23.9,0.098,23.53,19
-28.4603,143.7433,2012-10-19,309.5,78,31.1,0.0,26.8,0.024,23.86,16
-28.4652,143.7666,2012-10-19,305.7,45,31.2,0.0,26.8,0.024,23.86,16
